"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Suárez, Ranger","624133","23.5","29.4","","20.2","27.0","","","","",""
"Bleier, Richard","542947","0.4","64.1","24.5","6.3","4.7","","","","",""
"García, Jarlín","606424","40.0","","","42.6","17.4","","","","",""
"Keller, Mitch","656605","59.5","","20.8","","3.7","15.9","","","",""
"Ruiz, José","614179","61.6","","","23.8","13.3","1.3","","","",""
"Wood, Hunter","621056","55.6","","","28.1","11.3","5.1","","","",""
"Sims, Lucas","608371","50.1","0.5","","19.0","5.6","24.8","","","",""
"Vincent, Nick","543883","58.8","4.7","32.1","0.8","3.6","","","","",""
"Smeltzer, Devin","656970","45.8","","4.1","","25.5","24.6","","","",""
"Shafer, Justin","596101","46.7","7.1","19.1","27.0","","","","","",""
"Floro, Dylan","571670","20.6","47.1","","28.5","3.8","","","","",""
"Richard, Clayton","453385","15.4","56.9","","26.0","1.8","","","","",""
"Strop, Pedro","467008","20.6","16.3","18.2","39.9","","","5.1","","",""
"García, Edgar","658305","43.0","6.8","","48.7","1.5","","","","",""
"Pruitt, Austin","643493","42.9","1.0","","23.3","19.2","13.6","","","",""
"Hembree, Heath","592390","69.9","","","16.2","","13.9","","","",""
"Morin, Mike","573046","11.4","36.4","","15.5","36.7","","","","",""
"Sandoval, Patrick","663776","46.4","","","9.2","31.0","13.4","","","",""
"Bass, Anthony","542914","4.5","48.2","","33.2","","","14.1","","",""
"Santiago, Héctor","502327","59.3","0.1","","16.1","19.8","4.6","","","",""
"Brennan, Brandon","592165","2.9","48.7","","6.5","41.9","","","","",""
"Goody, Nick","580792","51.2","","","48.8","","","","","",""
"Kline, Branden","571858","57.5","","","34.0","8.5","","","","",""
"Barraclough, Kyle","607457","65.5","","","14.7","12.3","7.5","","","",""
"Grace, Matt","594840","","62.5","2.7","30.3","4.4","0.1","","","",""
"Sadler, Casey","594987","0.6","37.8","31.2","","3.0","27.4","","","",""
"Rodón, Carlos","607074","51.6","0.4","","37.2","10.8","","","","",""
"Holder, Jonathan","656547","54.5","","4.0","25.0","16.5","","","","",""
"Gonsolin, Tony","664062","47.9","","","16.9","","10.1","25.1","","",""
"Urquidy, José","664353","47.3","","","3.5","25.3","10.0","","","14.0",""
"Wilson, Justin","458677","52.5","","39.2","8.2","","","","","",""
"Brigham, Jeff","656257","51.4","","","","","","","","48.6",""
"Hardy, Blaine","543278","19.2","1.9","14.1","","44.8","20.0","","","",""
"Alcántara, Victor","622505","","75.0","","9.2","15.9","","","","",""
"Carpenter, Ryan","543001","22.8","22.3","","28.3","14.6","12.0","","","",""
"Voth, Austin","608723","60.4","","","11.3","8.0","20.3","","","",""
"Hernández, Darwinzon","650382","74.0","0.3","","25.1","","0.6","","","",""
"Webb, Logan","657277","43.5","12.9","","","20.1","","","","23.5",""
"Duplantier, Jon","641541","28.3","30.6","","19.7","9.0","12.4","","","",""
"Hellickson, Jeremy","476451","2.5","41.3","17.0","","25.8","13.3","","","",""
"Weber, Ryan","543901","3.1","49.6","1.2","14.5","16.6","15.0","","","",""
"Sheffield, Justus","656954","47.8","","","35.7","16.3","0.1","","","",""
"Peralta, Wily","503449","54.5","0.4","","32.1","12.8","0.1","","","",""
"Springs, Jeffrey","605488","57.6","0.5","","11.3","30.7","","","","",""
"Leone, Dominic","608678","38.3","10.0","35.9","14.5","1.4","","","","",""
"Barnes, Jacob","606930","48.0","","51.8","0.2","","","","","",""
"Pérez, Oliver","424144","14.7","36.0","","49.2","","","","","",""
"Hartlieb, Geoff","664129","39.9","29.5","","20.7","9.8","","","","",""
"McGee, Jake","459429","80.4","","","19.6","","","","","",""
"Quijada, José","650671","71.9","","","","16.7","11.4","","","",""
"Cisnero, José","542585","51.2","9.6","","30.5","8.7","","","","",""
"Peralta, Wandy","593974","11.5","25.6","","38.1","24.8","","","","",""
"Phelps, David","475479","25.3","17.3","28.9","","0.6","27.8","","","",""
"Irvin, Cole","608344","50.4","","","20.0","26.9","2.7","","","",""
"Parsons, Wes","641149","20.9","36.6","","36.3","6.3","","","","",""
"Luciano, Elvis","672773","55.3","","","25.5","19.2","","","","",""
"Hill, Tim","657612","31.4","44.1","","24.5","","","","","",""
"Wieck, Brad","623364","77.4","","","11.1","","11.6","","","",""
"Mejía, Adalberto","606167","44.0","9.9","","30.0","16.1","","","","",""
"Tinoco, Jesus","622786","4.7","57.8","","27.9","","8.6","1.0","","",""
"Reid-Foley, Sean","656887","48.5","1.5","","34.0","8.7","7.4","","","",""
"Kluber, Corey","446372","12.9","26.7","29.0","","8.5","22.9","","","",""
"Eshelman, Thomas","664045","27.4","18.4","","21.2","17.9","15.1","","","",""
"Maton, Phil","664208","57.2","","16.6","7.2","","18.9","","","",""
"Almonte, Yency","622075","56.4","0.5","","40.1","3.0","","","","",""
"Biddle, Jesse","592145","54.6","0.2","","20.1","","25.1","","","",""
"Avilán, Luis","501593","","29.5","","","58.3","12.2","","","",""
"Holland, Greg","518813","47.2","","","43.5","0.2","9.2","","","",""
"Hale, David","571735","31.4","28.9","","","21.2","18.4","","","",""
"Ross, Tyson","475115","34.0","1.2","36.7","28.1","","","","","",""
"Smith, Josh A.","595001","30.4","7.8","1.5","29.3","7.9","23.1","","","",""
"Loáisiga, Jonathan","642528","47.7","8.6","","","12.9","30.8","","","",""
"Minter, A.J.","621345","39.1","0.2","44.4","0.2","16.2","","","","",""
"Wick, Rowan","592858","66.1","","2.4","3.7","","27.8","","","",""
"Alvarado, José","621237","0.9","78.5","16.9","","","3.8","","","",""
"Wood, Alex","622072","2.0","48.3","","","25.1","24.6","","","",""
"Helsley, Ryan","664854","56.2","0.5","","31.9","2.8","8.7","","","",""
"Wright Jr., Mike","605541","34.5","23.9","","35.5","4.9","1.2","","","",""
"Dugger, Robert","667498","34.5","24.8","","24.3","3.2","13.2","","","",""
"Phillips, Evan","623465","64.7","1.8","","18.9","7.4","","","","7.2",""
"May, Dustin","669160","6.7","50.5","31.1","","1.1","10.6","","","",""
"Melville, Tim","543532","33.4","","","54.7","6.0","5.9","","","",""
"Sobotka, Chad","656977","56.0","0.5","","43.2","0.4","","","","",""
"Blevins, Jerry","460283","42.7","","","","8.2","49.1","","","",""
"Fulmer, Carson","608334","43.7","","32.6","","15.6","8.1","","","",""
"Warren, Adam","476589","30.6","0.2","","47.2","17.8","4.1","","","",""
"Taillon, Jameson","592791","26.7","20.4","","31.9","5.4","15.7","","","",""
"Mills, Alec","621219","30.7","23.5","","11.0","19.2","15.6","","","",""
"Bowman, Matt","621199","37.9","2.7","14.6","17.7","","11.5","15.7","","",""
"Littell, Zack","641793","49.0","0.2","","47.5","2.2","1.1","","","",""
"Olson, Tyler","621397","42.4","2.6","","","13.1","42.0","","","",""
"Cordero, Jimmy","622772","18.7","49.9","6.8","7.2","17.4","","","","",""
"Newberry, Jake","623470","51.9","0.7","","44.5","2.8","","","","",""
"Suárez, Andrew","605498","15.6","40.9","","23.4","14.7","5.4","","","",""
"Webb, Jacob","657097","54.5","","","33.1","12.4","","","","",""
"Reininger, Zac","643617","33.2","26.6","","23.5","3.9","12.8","","","",""
"Jackson, Jay","543351","41.7","","","55.3","3.0","","","","",""
"Adams, Austin","613534","32.8","3.6","","63.6","","","","","",""
"Tarpley, Stephen","605501","18.3","32.2","","47.4","0.4","1.7","","","",""
"Stumpf, Daniel","621385","52.1","","","37.9","10.0","","","","",""
"Baez, Michel","673258","58.7","","","5.2","33.2","2.9","","","",""
"Blach, Ty","621389","","56.7","7.3","1.3","26.0","8.7","","","",""
"Adams, Chance","664856","57.2","1.3","","16.8","7.3","17.3","","","",""
"Wang, Wei-Chung","623913","43.8","0.2","","37.6","15.8","2.5","","","",""
"Flynn, Brian","543169","20.5","36.5","","41.7","1.4","","","","",""
"McKay, David","641853","","62.9","","","","","","","","37.1"
"Kela, Keone","605309","53.2","","","","3.0","43.8","","","",""
"Hall, Matt","664180","66.3","","1.0","5.4","3.4","24.0","","","",""
